Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1628392,Isaiah Hartenstein,Isaiah,Hartenstein,97.69,71.3,541.7,591.0,169.7,62.3,70.3,58.7,68.6,18.3
1630573,Sam Hauser,Sam,Hauser,97.36,76.7,609.7,234.7,72.3,36.7,19.7,45.1,86.7,41.9
1641722,Jordan Hawkins,Jordan,Hawkins,96.29,61.5,564.0,153.0,68.0,24.5,15.0,37.7,82.7,34.8
1629637,Jaxson Hayes,Jaxson,Hayes,98.02,57.7,306.3,204.0,41.7,28.3,33.0,66.4,64.8,3.4
1630165,Killian Hayes,Killian,Hayes,96.34,41.3,376.3,119.3,235.3,48.0,17.3,40.3,77.1,31.9
1630703,Scoot Henderson,Scoot,Henderson,96.44,64.0,852.5,196.0,335.5,58.0,13.0,40.2,79.3,34.0
1641707,Taylor Hendricks,Taylor,Hendricks,95.63,21.5,153.0,100.0,17.0,16.5,17.0,33.6,77.2,31.4
1629639,Tyler Herro,Tyler,Herro,97.32,62.0,1354.0,327.0,297.3,50.0,12.0,45.1,88.9,38.3
1627741,Buddy Hield,Buddy,Hield,97.03,55.3,641.7,177.7,123.3,46.3,21.7,42.9,86.6,38.1
