Player ID,Full Name,First Name,Last Name,Rating,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg)
1630173,Precious Achiuwa,Precious,Achiuwa,86.99,43.7,314.7,268.0,50.7,31.0,36.7,49.5,60.3,27.2
203500,Steven Adams,Steven,Adams,86.49,58.7,371.3,524.0,139.7,41.0,44.7,56.3,45.6,0.0
1628389,Bam Adebayo,Bam,Adebayo,89.91,74.7,1435.3,724.7,285.0,89.0,60.0,51.5,77.5,26.6
1630534,Ochai Agbaji,Ochai,Agbaji,87.3,47.3,374.0,152.7,60.3,35.0,24.7,43.8,69.0,31.6
1630583,Santi Aldama,Santi,Aldama,88.97,67.7,720.3,379.7,141.0,46.7,43.7,46.3,68.7,35.7
1641725,Trey Alexander,Trey,Alexander,71.26,24.0,32.0,12.0,11.0,2.0,1.0,31.7,75.0,17.6
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,89.36,66.7,552.0,163.7,167.7,46.0,30.0,45.5,75.7,39.1
1628960,Grayson Allen,Grayson,Allen,90.39,70.3,814.7,242.0,175.7,61.7,26.0,46.2,86.6,42.9
1628386,Jarrett Allen,Jarrett,Allen,90.05,75.7,1114.3,758.3,160.3,61.3,79.3,66.1,73.1,3.3
1630631,Jose Alvarado,Jose,Alvarado,88.18,57.7,508.7,135.0,187.3,66.7,13.0,40.5,76.6,35.7
203937,Kyle Anderson,Kyle,Anderson,87.6,40.7,238.0,137.3,96.7,26.7,22.0,47.1,73.1,35.2
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,89.49,67.7,2072.3,793.7,422.7,65.7,69.3,58.8,64.0,25.7
1630175,Cole Anthony,Cole,Anthony,89.6,69.3,782.7,267.7,220.7,48.7,33.3,43.8,84.8,35.2
1628384,OG Anunoby,OG,Anunoby,88.13,41.3,688.3,188.7,90.3,59.3,33.7,48.4,77.3,38.0
1642379,Taran Armstrong,Taran,Armstrong,0.0,,,,,,,,,
1630166,Deni Avdija,Deni,Avdija,89.75,74.3,1006.0,516.3,259.3,65.3,33.3,47.3,75.3,34.5
1629028,Deandre Ayton,Deandre,Ayton,88.76,54.0,899.7,560.7,89.7,41.3,44.7,57.5,75.0,19.3
1630542,Marcus Bagley,Marcus,Bagley,84.3,10.0,67.0,70.0,10.0,9.0,12.0,39.1,80.0,15.6
1628963,Marvin Bagley III,Marvin,Bagley III,81.47,20.7,90.7,56.0,7.3,6.0,5.3,51.3,65.9,15.6
1631116,Patrick Baldwin Jr.,Patrick,Baldwin Jr.,67.1,16.0,35.3,16.7,2.0,2.0,1.3,68.6,33.3,69.6
1630163,LaMelo Ball,LaMelo,Ball,87.32,35.0,849.3,192.0,275.3,46.7,9.3,41.6,84.8,35.7
1628366,Lonzo Ball,Lonzo,Ball,87.37,41.7,508.0,190.3,203.0,64.3,26.3,40.1,78.2,38.2
1628964,Mo Bamba,Mo,Bamba,85.82,21.3,92.0,96.7,12.0,6.0,20.7,45.8,79.5,19.3
1631094,Paolo Banchero,Paolo,Banchero,88.72,66.0,1477.3,465.3,306.3,55.7,38.0,44.5,73.0,31.9
