player_id,full_name,first_name,last_name,position,GP,PTS,REB,AST,STL,BLK,FG_PCT,FT_PCT,FG3_PCT,POS
1630173,Precious Achiuwa,Precious,Achiuwa,precious_achiuwa,43.666666666666664,314.6666666666667,268.0,50.666666666666664,31.0,36.666666666666664,0.4953333333333334,0.6026666666666667,0.27166666666666667,precious_achiuwa
203500,Steven Adams,Steven,Adams,steven_adams,58.666666666666664,371.3333333333333,524.0,139.66666666666666,41.0,44.666666666666664,0.5630000000000001,0.4563333333333334,0.0,steven_adams
1628389,Bam Adebayo,Bam,Adebayo,bam_adebayo,74.66666666666667,1435.3333333333333,724.6666666666666,285.0,89.0,60.0,0.5153333333333333,0.7753333333333333,0.26566666666666666,bam_adebayo
1630534,Ochai Agbaji,Ochai,Agbaji,ochai_agbaji,47.333333333333336,374.0,152.66666666666666,60.333333333333336,35.0,24.666666666666668,0.4383333333333333,0.6896666666666667,0.31566666666666665,ochai_agbaji
1630583,Santi Aldama,Santi,Aldama,santi_aldama,67.66666666666667,720.3333333333334,379.6666666666667,141.0,46.666666666666664,43.666666666666664,0.4626666666666666,0.6873333333333332,0.35666666666666663,santi_aldama
1641725,Trey Alexander,Trey,Alexander,trey_alexander,24.0,32.0,12.0,11.0,2.0,1.0,0.317,0.75,0.176,trey_alexander
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,nickeil_alexander,66.66666666666667,552.0,163.66666666666666,167.66666666666666,46.0,30.0,0.455,0.7573333333333334,0.3913333333333333,nickeil_alexander
1628960,Grayson Allen,Grayson,Allen,grayson_allen,70.33333333333333,814.6666666666666,242.0,175.66666666666666,61.666666666666664,26.0,0.4623333333333333,0.8663333333333334,0.4286666666666667,grayson_allen
1628386,Jarrett Allen,Jarrett,Allen,jarrett_allen,75.66666666666667,1114.3333333333333,758.3333333333334,160.33333333333334,61.333333333333336,79.33333333333333,0.6613333333333333,0.731,0.03333333333333333,jarrett_allen
1630631,Jose Alvarado,Jose,Alvarado,jose_alvarado,57.666666666666664,508.6666666666667,135.0,187.33333333333334,66.66666666666667,13.0,0.405,0.7656666666666666,0.35733333333333334,jose_alvarado
203937,Kyle Anderson,Kyle,Anderson,kyle_anderson,40.666666666666664,238.0,137.33333333333334,96.66666666666667,26.666666666666668,22.0,0.4706666666666666,0.7313333333333333,0.3516666666666666,kyle_anderson
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,giannis_antetokounmpo,67.66666666666667,2072.3333333333335,793.6666666666666,422.6666666666667,65.66666666666667,69.33333333333333,0.5883333333333334,0.6396666666666667,0.257,giannis_antetokounmpo
1630175,Cole Anthony,Cole,Anthony,cole_anthony,69.33333333333333,782.6666666666666,267.6666666666667,220.66666666666666,48.666666666666664,33.333333333333336,0.43766666666666665,0.8476666666666667,0.35166666666666674,cole_anthony
1628384,OG Anunoby,OG,Anunoby,og_anunoby,41.333333333333336,688.3333333333334,188.66666666666666,90.33333333333333,59.333333333333336,33.666666666666664,0.4843333333333333,0.7726666666666667,0.38000000000000006,og_anunoby
1630166,Deni Avdija,Deni,Avdija,deni_avdija,74.33333333333333,1006.0,516.3333333333334,259.3333333333333,65.33333333333333,33.333333333333336,0.47300000000000003,0.753,0.3453333333333333,deni_avdija
1629028,Deandre Ayton,Deandre,Ayton,deandre_ayton,54.0,899.6666666666666,560.6666666666666,89.66666666666667,41.333333333333336,44.666666666666664,0.575,0.75,0.19333333333333336,deandre_ayton
1630542,Marcus Bagley,Marcus,Bagley,marcus_bagley,10.0,67.0,70.0,10.0,9.0,12.0,0.391,0.8,0.156,marcus_bagley
